Response ID,Rated Level,Correctness Bughunt 1,Timing Bughunt 1,Timing Correct Bughunt 1,Timing Incorrect Bughunt 1,Correctness Bughunt 2,Timing Bughunt 2,Timing Correct Bughunt 2,Timing Incorrect Bughunt 2,Correctness Bughunt 3,Timing Bughunt 3,Timing Correct Bughunt 3,Timing Incorrect Bughunt 3,Correctness Bughunt 4,Timing Bughunt 4,Timing Correct Bughunt 4,Timing Incorrect Bughunt 4,Correctness Bughunt 5,Timing Bughunt 5,Timing Correct Bughunt 5,Timing Incorrect Bughunt 5,Correctness Bughunt 6,Timing Bughunt 6,Timing Correct Bughunt 6,Timing Incorrect Bughunt 6,Correctness Bughunt 7,Timing Bughunt 7,Timing Correct Bughunt 7,Timing Incorrect Bughunt 7,Correctness Bughunt 8,Timing bug hunt 8,Timing Correct Bughunt 8,Timing Incorrect Bughunt 8,Correctness Bughunt 9,Timing Bughunt 9,Timing Correct Bughunt 9,Timing Incorrect Bughunt 9,Correctness Bughunt 10,Timing Bughunt 10,Timing Correct Bughunt 10,Timing Incorrect Bughunt 10,Correctness Bughunt 11,Timing Bughunt 11,Timing Correct Bughunt 11,Timing Incorrect Bughunt 11,Correctness Bughunt 12,Timing Bughunt 12,Timing Correct Bughunt 12,Timing Incorrect Bughunt 12,Correctness Bughunt 13,Timing Bughunt 13,Timing Correct Bughunt 13,Timing Incorrect Bughunt 13,Correctness Bughunt 14,Timing Bughunt 14,Timing Correct Bughunt 14,Timing Incorrect Bughunt 14,Correctness Bughunt 15,Timing Bughunt 15,Timing Correct Bughunt 15,Timing Incorrect Bughunt 15,Correctness Bughunt 16,Timing Bughunt 16,Timing Correct Bughunt 16,Timing Incorrect Bughunt 16,Kimchi refactor Timings ALL,Participant Self-Selected Proposal,Preference for 1,Preference for 2,Correctness of implementation (Any),Proposal 1 Implementation Correct,Proposal 1 Implementation Responded,Proposal 1 Implementation Timing Correct,Proposal 1 Implementation Timing Incorrect,Proposal 2 Implementation Correct,Proposal 2 Implementation Total Participants,Proposal 2 Implementation Timing Correct,Proposal 2 Implementation Timing Incorrect
73,1,1,159,159,,,,,0,,,,0,,,,0,,,,0,,,,0,1,162,162,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,519,,0,0,,0,0,,,0,1,,519
84,2,,,,0,,,,0,,,,0,1,86,86,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,24,24,,,,,0,,,,0,,,,0,,,,0,460,1,0,0,,0,1,,460,0,0,,
85,2,1,202,202,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,93,93,,,,,0,,,,0,,,,0,,,,0,303,1,0,0,1,1,1,303,,0,0,,
86,2,1,121,121,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,53,53,,,,,0,,,,0,,,,0,,,,0,162,1,0,0,1,1,1,162,,0,0,,
88,2,,,,0,,,,0,,,,0,1,191,191,,,,,0,,,,0,0,163,,163,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,342,2,0,0,1,0,0,,,1,1,342,
89,0,,,,0,,,,0,,,,0,1,247,247,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,238,238,,,,,0,,,,0,,,,0,,,,0,1808,1,0,0,1,1,1,1808,,0,0,,
91,2,1,118,118,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,36,36,,,,,0,,,,0,,,,0,,,,0,225,1,0,0,1,1,1,225,,0,0,,
93,2,1,30,30,,,,,0,,,,0,,,,0,,,,0,,,,0,0,147,,147,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,424,1,0,0,1,0,0,,,1,1,424,
95,1,1,135,135,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,105,105,,,,,0,,,,0,,,,0,,,,0,512,1,0,0,1,1,1,512,,0,0,,
96,1,,,,0,,,,0,,,,0,1,106,106,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,26,26,,,,,0,,,,0,,,,0,,,,0,255,1,0,0,1,1,1,255,,0,0,,
97,1,,,,0,,,,0,,,,0,,200,,200,,,,0,,,,0,1,195,195,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,158,2,0,0,1,0,0,,,1,1,158,
101,1,1,154,154,,,,,0,,,,0,,,,0,,,,0,,,,0,1,617,617,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,332,2,0,0,1,0,0,,,1,1,332,
103,0,1,97,97,,,,,0,,,,0,,,,0,,,,0,,,,0,0,136,,136,,,,0,,,,0,,,,0,,,,0,1,36,36,,,,,0,,,,0,,,,0,,,,0,248,2,0,1,1,0,0,,,1,1,248,
104,2,,,,0,,,,0,,,,0,1,100,100,,,,,0,,,,0,1,42,42,,,,,0,,,,0,,,,0,,,,0,1,22,22,,,,,0,,,,0,,,,0,,,,0,100,2,0,1,1,0,0,,,1,1,100,
106,1,,,,0,,,,0,,,,0,1,57,57,,,,,0,,,,0,1,41,41,,,,,0,,,,0,,,,0,,,,0,1,22,22,,,,,0,,,,0,,,,0,,,,0,184,1,1,0,1,1,1,184,,0,0,,
107,1,,,,0,,,,0,,,,0,1,161,161,,,,,0,,,,0,1,54,54,,,,,0,,,,0,,,,0,,,,0,1,20,20,,,,,0,,,,0,,,,0,,,,0,456,2,0,1,0,0,0,,,0,1,,456
109,1,1,195,195,,,,,0,,,,0,,,,0,,,,0,,,,0,1,152,152,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,285,2,0,0,1,0,0,,,1,1,285,
111,1,1,167,167,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,91,91,,,,,0,,,,0,,,,0,,,,0,360,1,0,0,1,1,1,360,,0,0,,
113,2,,,,0,,,,0,,,,0,1,48,48,,,,,0,,,,0,1,71,71,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,115,2,0,0,1,0,0,,,1,1,115,
114,2,,,,0,,,,0,,,,0,1,125,125,,,,,0,,,,0,1,65,65,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,225,2,0,0,0,0,0,,,0,1,,225
115,1,,,,0,,,,0,,,,0,1,95,95,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,30,30,,,,,0,,,,0,,,,0,,,,0,289,1,0,0,1,1,1,289,,0,0,,
116,1,1,156,156,,,,,0,,,,0,,,,0,,,,0,,,,0,0,97,,97,,,,0,,,,0,,,,0,,,,0,1,38,38,,,,,0,,,,0,,,,0,,,,0,199,1,1,0,1,1,1,199,,0,0,,
117,1,,,,0,,,,0,,,,0,1,61,61,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,0,31,,31,,,,0,,,,0,,,,0,,,,0,50,,0,0,,0,1,,50,0,0,,
126,2,,,,0,,,,0,,,,0,1,2461,2461,,,,,0,,,,0,0,86,,86,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,120,2,0,0,0,0,0,,,0,1,,120
128,2,1,160,160,,,,,0,,,,0,,,,0,,,,0,,,,0,1,111,111,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,347,1,0,0,,0,0,,,0,1,,347
133,1,,,,0,,,,0,,,,0,1,91,91,,,,,0,,,,0,1,63,63,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,104,2,0,0,1,0,0,,,1,1,104,
134,0,1,157,157,,,,,0,,,,0,,,,0,,,,0,,,,0,1,82,82,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,233,1,0,0,1,0,0,,,1,1,233,
135,1,1,151,151,,,,,0,,,,0,,,,0,,,,0,,,,0,1,36,36,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,498,1,0,0,1,0,0,,,1,1,498,
136,1,1,225,225,,,,,0,,,,0,,,,0,,,,0,,,,0,1,166,166,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,689,2,0,0,1,0,0,,,1,1,689,
144,1,1,116,116,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,92,92,,,,,0,,,,0,,,,0,,,,0,186,1,0,0,1,1,1,186,,0,0,,
145,2,1,168,168,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,83,83,,,,,0,,,,0,,,,0,,,,0,306,3,0,0,1,1,1,306,,0,0,,
147,1,,,,0,,,,0,,,,0,1,147,147,,,,,0,,,,0,0,118,,118,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,66,,0,0,,0,0,,,0,1,,66
148,1,,,,0,,,,0,,,,0,0,403,,403,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,29,29,,,,,0,,,,0,,,,0,,,,0,338,1,0,0,1,1,1,338,,0,0,,
152,1,1,126,126,,,,,0,,,,0,,,,0,,,,0,,,,0,1,60,60,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,199,2,0,0,0,0,0,,,0,1,,199
154,1,0,252,,252,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,122,,122,,,,0,,,,0,,,,0,,,,0,115,,0,0,,0,1,,115,0,0,,
156,2,,,,0,,,,0,,,,0,0,586,,586,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,54,54,,,,,0,,,,0,,,,0,,,,0,450,1,0,0,1,1,1,450,,0,0,,
157,1,1,183,183,,,,,0,,,,0,,,,0,,,,0,,,,0,0,18,,18,,,,0,,,,0,,,,0,,,,0,1,23,23,,,,,0,,,,0,,,,0,,,,0,153,2,0,1,1,0,0,,,1,1,153,
158,1,,,,0,,,,0,,,,0,1,99,99,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,158,158,,,,,0,,,,0,,,,0,,,,0,165,1,0,0,1,1,1,165,,0,0,,
162,0,,,,0,,,,0,,,,0,1,97,97,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,47,47,,,,,0,,,,0,,,,0,,,,0,57,,0,0,,0,1,,57,0,0,,
164,0,1,115,115,,,,,0,,,,0,,,,0,,,,0,,,,0,1,182,182,,,,,0,,,,0,,,,0,,,,0,1,47,47,,,,,0,,,,0,,,,0,,,,0,263,2,0,1,1,0,0,,,1,1,263,
165,1,,,,0,,,,0,,,,0,1,135,135,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,27,27,,,,,0,,,,0,,,,0,,,,0,314,1,0,0,1,1,1,314,,0,0,,
168,2,1,149,149,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,117,117,,,,,0,,,,0,,,,0,,,,0,124,,0,0,,0,1,,124,0,0,,
170,2,1,78,78,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,79,79,,,,,0,,,,0,,,,0,,,,0,192,1,0,0,1,1,1,192,,0,0,,
178,2,1,100,100,,,,,0,,,,0,,,,0,,,,0,,,,0,1,280,280,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,245,2,0,0,0,0,0,,,0,1,,245
179,0,,,,0,,,,0,,,,0,1,230,230,,,,,0,,,,0,1,310,310,,,,,0,,,,0,,,,0,,,,0,1,48,48,,,,,0,,,,0,,,,0,,,,0,685,,0,0,,0,0,,,0,0,,
184,1,1,113,113,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,85,85,,,,,0,,,,0,,,,0,,,,0,178,1,0,0,1,1,1,178,,0,0,,
185,1,,,,0,,,,0,,,,0,1,298,298,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,117,117,,,,,0,,,,0,,,,0,,,,0,299,1,0,0,,0,1,,299,0,0,,
186,1,,,,0,,,,0,,,,0,0,157,,157,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,36,36,,,,,0,,,,0,,,,0,,,,0,161,1,0,0,1,1,1,161,,0,0,,
187,1,,,,0,,,,0,,,,0,0,137,,137,,,,0,,,,0,0,59,,59,,,,0,,,,0,,,,0,,,,0,1,23,23,,,,,0,,,,0,,,,0,,,,0,18,,0,0,,0,0,,,0,0,,
192,2,1,100,100,,,,,0,,,,0,,,,0,,,,0,,,,0,1,147,147,,,,,0,,,,0,,,,0,,,,0,1,30,30,,,,,0,,,,0,,,,0,,,,0,148,2,0,1,1,0,0,,,1,1,148,
193,1,,,,0,,,,0,,,,0,1,127,127,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,47,47,,,,,0,,,,0,,,,0,,,,0,273,1,0,0,1,1,1,273,,0,0,,
197,0,1,92,92,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,21,21,,,,,0,,,,0,,,,0,,,,0,378,1,0,0,1,1,1,378,,0,0,,
200,2,,,,0,,,,0,,,,0,1,144,144,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,67,67,,,,,0,,,,0,,,,0,,,,0,162,1,0,0,1,1,1,162,,0,0,,
201,1,1,256,256,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,290,290,,,,,0,,,,0,,,,0,,,,0,270,1,0,0,1,1,1,270,,0,0,,
202,1,1,357,357,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,79,79,,,,,0,,,,0,,,,0,,,,0,338,1,0,0,1,1,1,338,,0,0,,
204,2,1,130,130,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,44,44,,,,,0,,,,0,,,,0,,,,0,214,1,0,0,1,1,1,214,,0,0,,
209,2,,,,0,,,,0,,,,0,1,150,150,,,,,0,,,,0,1,523,523,,,,,0,,,,0,,,,0,,,,0,1,48,48,,,,,0,,,,0,,,,0,,,,0,254,2,0,1,1,0,0,,,1,1,254,
210,2,,,,0,,,,0,,,,0,1,75,75,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,37,37,,,,,0,,,,0,,,,0,,,,0,79,,0,0,,0,1,,79,0,0,,
213,1,1,111,111,,,,,0,,,,0,,,,0,,,,0,,,,0,1,57,57,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,202,2,0,0,1,0,0,,,1,1,202,
214,0,1,166,166,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,29,29,,,,,0,,,,0,,,,0,,,,0,145,1,0,0,1,1,1,145,,0,0,,
215,2,1,158,158,,,,,0,,,,0,,,,0,,,,0,,,,0,0,332,,332,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,204,,0,0,,0,0,,,0,1,,204
219,0,,,,0,,,,0,,,,0,0,209,,209,,,,0,,,,0,,189,,189,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,232,2,0,0,1,0,0,,,1,1,232,
220,2,1,179,179,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,57,57,,,,,0,,,,0,,,,0,,,,0,259,1,0,0,1,1,1,259,,0,0,,
230,2,,,,0,,,,0,,,,0,1,254,254,,,,,0,,,,0,1,84,84,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,295,1,0,0,1,0,0,,,1,1,295,
234,1,,,,0,,,,0,,,,0,,155,,155,,,,0,,,,0,1,119,119,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,211,2,0,0,1,0,0,,,1,1,211,
238,2,,,,0,,,,0,,,,0,1,59,59,,,,,0,,,,0,1,170,170,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,148,2,0,0,1,0,0,,,1,1,148,
239,1,1,114,114,,,,,0,,,,0,,,,0,,,,0,,,,0,,106,,106,,,,0,,,,0,,,,0,,,,0,1,22,22,,,,,0,,,,0,,,,0,,,,0,118,2,0,1,0,0,0,,,0,1,,118
240,2,1,117,117,,,,,0,,,,0,,,,0,,,,0,,,,0,1,135,135,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,108,2,0,0,0,0,0,,,0,1,,108
241,1,,,,0,,,,0,,,,0,1,146,146,,,,,0,,,,0,1,21,21,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,112,2,0,0,0,0,0,,,0,1,,112
242,1,1,385,385,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,52,52,,,,,0,,,,0,,,,0,,,,0,222,1,0,0,0,0,1,,222,0,0,,
243,0,,,,0,,,,0,,,,0,1,90,90,,,,,0,,,,0,0,112,,112,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,214,,0,0,,0,0,,,0,1,,214
244,2,1,92,92,,,,,0,,,,0,,,,0,,,,0,,,,0,1,134,134,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,202,2,0,0,1,0,0,,,1,1,202,
247,2,,,,0,,,,0,,,,0,1,48,48,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,49,49,,,,,0,,,,0,,,,0,,,,0,357,1,0,0,1,1,1,357,,0,0,,
248,0,,,,0,,,,0,,,,0,1,61,61,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,17,17,,,,,0,,,,0,,,,0,,,,0,154,1,0,0,0,0,1,,154,0,0,,
250,2,,,,0,,,,0,,,,0,1,52,52,,,,,0,,,,0,0,87,,87,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,233,2,0,0,1,0,0,,,1,1,233,
252,2,1,171,171,,,,,0,,,,0,,,,0,,,,0,,,,0,1,264,264,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,291,2,0,0,1,0,0,,,1,1,291,
255,1,,,,0,,,,0,,,,0,1,68,68,,,,,0,,,,0,0,177,,177,,,,0,,,,0,,,,0,,,,0,1,28,28,,,,,0,,,,0,,,,0,,,,0,169,2,0,1,1,0,0,,,1,1,169,
260,0,,,,0,,,,0,,,,0,1,153,153,,,,,0,,,,0,1,76,76,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,109,,0,0,,0,0,,,0,1,,109
268,2,,,,0,,,,0,,,,0,1,97,97,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,84,84,,,,,0,,,,0,,,,0,,,,0,159,1,0,0,1,1,1,159,,0,0,,
270,2,1,194,194,,,,,0,,,,0,,,,0,,,,0,,,,0,,353,,353,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,323,,0,0,,0,0,,,0,1,,323
271,1,,,,0,,,,0,,,,0,1,76,76,,,,,0,,,,0,1,150,150,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,444,2,0,0,1,0,0,,,1,1,444,
273,2,1,121,121,,,,,0,,,,0,1,58,58,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,43,3,0,0,1,0,0,,,0,0,,
276,2,,,,0,,,,0,,,,0,1,54,54,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,1,92,92,,,,,0,,,,0,,,,0,,,,0,971,1,0,0,,0,1,,971,0,0,,
277,1,,,,0,,,,0,,,,0,1,122,122,,,,,0,,,,0,1,84,84,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,350,2,0,0,1,0,0,,,1,1,350,
278,1,1,112,112,,,,,0,,,,0,1,51,51,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,0,0,,0,0,,,0,0,,
